mode,solution_dofs,operator_build_plot,operator_build_sd,external_wall_seconds,base_evaluations,peak_rss_gib,hmatrix_gib,gmres_seconds,gmres_iterations
independent,10374,14.0906432,0.0,19.7559578,13452454,0.6627960205078125,0.2076034694910049,3.8702738,108
joint,10374,4.35891,0.0,10.307462400000002,4660742,0.6785430908203125,0.2169504314661026,3.9752581,108
shared,10374,6.3956575,0.0,12.451194400000002,5855949,0.7972869873046875,0.2076034694910049,3.8224097,108
independent,14118,19.9786275,0.1728084735303506,26.900489800000003,18712020,0.9586029052734376,0.2919210344552994,4.6587448,110
joint,14118,6.468957133333333,0.236181061554697,13.851067200000005,6606001,0.989471435546875,0.311772421002388,4.6404409,109
shared,14118,9.448836266666666,0.870495507057287,16.468627100000006,8835763,1.1349525451660156,0.2919210344552994,4.1967741,110
independent,19608,30.7386745,0.0,40.61689249999999,29781633,1.4412689208984375,0.4573061466217041,5.7706853,112
joint,19608,9.6672516,0.0,20.192938700000013,10495287,1.4868278503417969,0.4863423407077789,5.8625213,112
shared,19608,14.7738082,0.0,27.021787699999976,14146712,1.8110427856445312,0.4573061466217041,5.946533,112
