wall_seconds,rss_gib,cpu_percent,process_count
0.3035318,0.039997100830078125,0.0,1
0.5221914999999999,0.0646514892578125,306.8,1
0.7434445,0.07966995239257812,236.5,1
0.9591414999999999,0.08720779418945312,164.1,1
1.1760342,0.09955978393554688,313.9,1
1.3934985,0.10161209106445312,178.4,1
1.6136823,0.10763931274414062,329.7,1
1.8357817,0.13611984252929688,435.2,1
2.0535354000000003,0.13776016235351562,549.4,1
2.2730040000000002,0.17518234252929688,899.0,1
2.4899656,0.18456268310546875,537.6,1
2.708885,0.1837158203125,635.0,1
2.9271614,0.17738723754882812,478.0,1
3.1449058,0.17906570434570312,513.7,1
3.3651798000000004,0.17527008056640625,437.2,1
3.5835612,0.19040298461914062,271.1,1
3.8027729000000003,0.20043182373046875,306.8,1
4.0181553999999995,0.19846725463867188,306.8,1
4.236750799999999,0.20070648193359375,243.7,1
4.4557801999999995,0.20082855224609375,335.3,1
4.6737839999999995,0.22285079956054688,306.8,1
4.8941111,0.22165298461914062,264.0,1
5.1111813,0.23935317993164062,286.7,1
5.3312862,0.20435714721679688,157.0,1
5.5484107,0.22700881958007812,242.6,1
5.7668018,0.2382354736328125,64.2,3
6.0014429,0.2810020446777344,0.0,3
6.231700099999999,0.2934608459472656,28.5,3
6.4498393,0.2971649169921875,186.4,3
6.6676807,0.31554412841796875,299.7,3
6.8860778,0.3313484191894531,306.8,3
7.1046024,0.3498687744140625,235.4,3
7.3232326,0.3524971008300781,250.9,3
7.5407598,0.35385894775390625,214.0,3
7.7601802,0.4486885070800781,799.1,3
7.977665200000001,0.4513206481933594,1127.3,3
8.196031399999999,0.4517059326171875,100.3,3
8.4129803,0.4540367126464844,185.5,3
8.6318616,0.45745086669921875,242.6,3
8.8499789,0.4617424011230469,242.6,3
9.0690831,0.4653205871582031,408.5,3
9.2912315,0.5046653747558594,506.6,3
9.5121079,0.5191459655761719,1418.8,3
9.7602257,0.5450515747070312,470.9,5
9.9786483,0.5186882019042969,199.8,3
10.195950999999999,0.5281829833984375,301.0,3
10.4132377,0.5104522705078125,292.5,3
10.646274,0.5166702270507812,139.6,3
10.8640349,0.52191162109375,243.7,3
11.0811431,0.5272254943847656,642.1,3
11.3132082,0.5422630310058594,1375.5,3
11.5488637,0.5460662841796875,1409.6,3
11.789117899999999,0.5570831298828125,1008.3,3
12.0165547,0.5929603576660156,1190.2,3
12.2340821,0.5957298278808594,608.1,3
12.4501964,0.65283203125,1356.1,3
12.7162917,0.6346206665039062,1498.3,3
12.937586,0.6397857666015625,166.9,3
13.1567657,0.6444473266601562,160.8,3
13.3761155,0.6622505187988281,293.9,3
13.5932054,0.6684188842773438,570.8,3
13.8110558,0.6703720092773438,321.1,3
14.0300326,0.680206298828125,547.5,3
14.2610116,0.6669540405273438,413.8,3
14.4777281,0.6865653991699219,649.3,3
14.6918271,0.7034034729003906,444.4,3
14.9078314,0.7072830200195312,606.4,3
15.1243605,0.7219276428222656,654.2,3
15.3452267,0.7139053344726562,585.1,3
15.563667,0.7111701965332031,623.6,3
15.7848778,0.6916160583496094,1241.4,3
16.0318483,0.7072181701660156,1004.0,3
16.2662132,0.7546730041503906,850.0,3
16.4984009,0.886016845703125,1001.6,3
16.7183018,0.862213134765625,927.5,3
16.9367431,0.8449249267578125,1010.6,3
17.1694937,0.8433570861816406,934.6,3
17.3874533,0.8730125427246094,764.6,3
17.6218428,0.8840217590332031,867.3,3
17.855044499999998,0.8637886047363281,1043.9,3
18.0904405,0.8748207092285156,1156.2,3
18.3394005,0.886077880859375,1502.4,3
18.572107,0.8693122863769531,1161.9,3
18.8040907,0.8957901000976562,1212.5,3
19.0424716,0.9148139953613281,1675.5,3
19.301584,0.9161186218261719,975.0,3
19.5212196,0.9624176025390625,1591.0,3
19.7411366,1.4636268615722656,1822.9,3
20.1452009,1.6066818237304688,1821.8,3
20.3888686,1.9206962585449219,1679.3,3
20.6752412,1.8001480102539062,1521.2,3
20.9191466,1.8974075317382812,1602.4,3
21.1515073,2.088573455810547,1783.7,3
21.3714747,1.9051971435546875,1575.9,3
21.6071368,1.897918701171875,1825.0,3
21.8564758,1.8864364624023438,1689.4,3
22.1156738,1.8827018737792969,1651.2,3
22.399328999999998,1.8788681030273438,1698.1,3
22.6298886,1.8750801086425781,1669.5,3
22.8610682,1.8673019409179688,1549.1,3
23.1130876,1.8673477172851562,1875.0,3
23.3618886,1.8673744201660156,1775.0,3
23.5920418,1.8674583435058594,1702.1,3
23.8285795,1.8674964904785156,1756.1,3
24.0602588,1.8675956726074219,1656.0,3
24.309345099999998,1.8678474426269531,1612.5,3
24.5597488,1.867919921875,1737.5,3
24.822824,1.8676185607910156,1556.6,3
25.0605843,1.8676300048828125,1682.7,3
25.2942115,1.8677215576171875,1762.0,3
25.5343318,1.8678817749023438,1750.0,3
25.7952481,1.8679084777832031,1756.2,3
26.0514361,1.8680534362792969,1718.8,3
26.3037712,1.8681182861328125,1721.7,3
26.5543259,1.8686294555664062,1968.8,3
26.8061382,1.8687705993652344,1691.7,3
27.0719034,1.864990234375,1825.0,3
27.3163595,1.8651123046875,1716.1,3
27.5357111,1.8651275634765625,1355.6,3
27.7554557,1.8651275634765625,1027.4,3
27.9727285,2.030628204345703,1195.2,3
28.2218878,1.7105941772460938,1712.1,3
28.5046727,1.8050956726074219,1626.8,3
29.5786266,1.9140853881835938,1583.3,3
29.9828814,1.9143447875976562,1702.5,3
30.5643321,1.9207954406738281,1685.2,3
31.0630172,1.9690933227539062,1559.6,3
31.820802,1.9690742492675781,1595.1,3
32.353125000000006,1.9727439880371094,1584.7,3
33.1083244,1.9750823974609375,1614.7,3
33.4835617,1.9756507873535156,1590.2,3
33.774830800000004,1.9756965637207031,1691.7,3
34.1798141,1.9757347106933594,1666.1,3
35.5832491,1.9757308959960938,1595.4,3
36.6137828,1.9781532287597656,1475.9,3
37.178982500000004,1.9787788391113281,1604.6,3
37.762097100000005,1.9788093566894531,1619.4,3
39.6584476,2.0043296813964844,1574.5,3
41.241219,2.0342483520507812,1615.9,3
42.0231603,2.0396347045898438,1548.5,3
42.676432600000005,2.0446739196777344,1625.0,3
43.0592735,2.0498046875,1716.8,3
43.6157934,2.0519027709960938,1686.4,3
43.968849500000005,2.0545196533203125,1482.6,3
44.256430400000006,2.0578231811523438,1385.9,3
45.371074500000006,2.0661544799804688,1542.8,3
46.8179159,2.0829696655273438,1653.0,3
47.362457000000006,2.1016807556152344,1532.2,3
47.869238100000004,2.109577178955078,1580.7,3
48.205132000000006,2.1205711364746094,1447.9,3
49.721959700000006,2.1279869079589844,1524.4,3
51.039972600000006,2.1590728759765625,1740.4,3
51.302538500000004,2.160236358642578,1791.7,3
51.808984800000005,2.1608963012695312,1901.6,3
52.026426300000004,2.1619110107421875,1908.3,3
52.4043496,2.1634979248046875,1855.7,3
52.851729000000006,2.163707733154297,1847.9,3
53.0835275,2.1709518432617188,1762.7,3
53.4350316,2.1793785095214844,1835.0,3
53.756959800000004,2.1802215576171875,1839.5,3
54.00877680000001,2.187206268310547,1869.1,3
54.262483800000005,2.1912689208984375,1762.0,3
54.508518,2.1940040588378906,1923.9,3
54.8003669,2.199573516845703,1929.5,3
55.061136700000006,2.2012252807617188,1822.9,3
55.3085201,2.2052955627441406,1768.7,3
55.561261200000004,2.2102508544921875,1807.1,3
55.861513800000004,2.222858428955078,1865.6,3
57.1196263,2.2363929748535156,1757.5,3
57.742696900000006,2.2363929748535156,1855.0,3
58.1043086,2.2363929748535156,1916.9,3
58.3737976,2.2363929748535156,1801.6,3
58.6537614,2.2363929748535156,1820.3,3
58.95260570000001,2.2366409301757812,1816.2,3
59.1930272,2.2367095947265625,1845.3,3
59.929570500000004,2.2367095947265625,1820.3,3
60.580931400000004,2.2371902465820312,1842.2,3
61.0260332,2.237438201904297,1893.8,3
61.2619775,2.237438201904297,1535.9,3
61.5108283,2.237438201904297,1800.0,3
61.803754100000006,2.237457275390625,1757.2,3
62.2116732,2.2374305725097656,1803.1,3
62.7823706,2.2374305725097656,1776.0,3
63.1302098,2.2374305725097656,1810.6,3
63.4848227,2.2374305725097656,1961.9,3
63.7617142,2.23809814453125,1894.5,3
64.5817339,2.2407608032226562,1999.2,3
64.8811394,2.2421188354492188,1961.9,3
65.1549447,2.252147674560547,1972.3,3
65.6429435,2.2592010498046875,1884.3,3
66.0704555,2.263843536376953,1935.1,3
66.3390665,2.2691116333007812,1986.5,3
66.67806379999999,2.272754669189453,2043.7,3
66.9400881,2.2817764282226562,1985.3,3
67.5617946,2.295696258544922,1734.0,3
67.7921262,2.297344207763672,1568.7,3
68.0400457,2.2974777221679688,1690.9,3
68.2576157,2.2975006103515625,1726.6,3
68.4786113,2.298480987548828,1912.1,3
68.7136482,2.2991180419921875,1636.0,3
68.9542025,2.3153228759765625,1712.5,3
69.1815312,2.542163848876953,1740.9,3
69.4033381,2.854022979736328,1842.9,3
69.77137359999999,3.2139663696289062,1678.2,3
70.0231855,3.2861061096191406,1718.8,3
70.26364799999999,3.5172500610351562,1615.7,3
70.4954619,3.3886375427246094,1670.0,3
70.7235845,3.3742713928222656,1848.4,3
70.9577001,3.3665199279785156,1816.2,3
71.1888148,3.3665199279785156,1696.0,3
71.4074096,3.366527557373047,1788.6,3
71.6654867,3.355365753173828,1682.7,3
71.8980187,3.3553695678710938,1961.9,3
72.1601357,3.3553619384765625,1823.8,3
72.4822593,3.355365753173828,1838.6,3
72.7006044,3.349132537841797,1542.5,3
72.93197909999999,3.546558380126953,1469.7,3
73.16531119999999,3.524402618408203,440.7,3
73.3828956,3.5334014892578125,99.9,3
73.6003679,3.545703887939453,1312.8,3
73.8195746,3.5561676025390625,315.4,3
74.04080359999999,3.579967498779297,171.2,3
74.2731194,3.769287109375,1635.6,3
74.5043262,3.855884552001953,1756.1,3
74.72433029999999,3.9406661987304688,1762.3,3
74.9435099,3.9513702392578125,1748.9,3
75.1655809,4.029449462890625,1489.4,3
75.41968779999999,3.8875503540039062,1736.1,3
75.64998539999999,3.8875808715820312,1821.8,3
75.91287559999999,3.887584686279297,1786.6,3
76.14617659999999,3.8875961303710938,1542.6,3
76.3812329,2.565753936767578,1595.9,3
76.61441839999999,1.999847412109375,1048.3,3
76.8482616,2.0753326416015625,518.8,3
77.11555109999999,2.0482406616210938,1487.5,3
77.3445459,2.046478271484375,1416.2,3
77.579205,2.055828094482422,761.2,3
77.7969816,2.055938720703125,177.0,3
78.0148055,2.0561294555664062,99.9,3
78.2315488,2.0578765869140625,235.4,3
78.4504319,1.995361328125,322.5,1
78.6839481,2.0015792846679688,571.8,1
78.9181691,0.0,0.0,0
79.1514244,0.0,0.0,0
